Drill Listing
=============
Drill: .00984  Tool: 1  Feed: 0  Speed: 0
X 304133  Y 251476
X 297047  Y 249114
X 280708  Y 166732
X 288582  Y 162795
X 292519  Y 162795
X 284645  Y 162795
X 280708  Y 162795
X 292519  Y 158858
X 280708  Y 158858
X 288582  Y 158858
X 284645  Y 158858
X 288582  Y 154921
X 292519  Y 154921
X 280708  Y 154921
X 284645  Y 150984
X 292519  Y 150984
X 280708  Y 150984
X 288582  Y 150984
X 280708  Y 147047
X 284645  Y 143110
X 288582  Y 143110
X 292519  Y 143110
X 280610  Y 139173
X 284645  Y 139173
X 296062  Y 137204
X 284645  Y 135236
X 296062  Y 133267
X 284645  Y 131299
X 292519  Y 131299
X 288582  Y 131299
X 280708  Y 123425
X 284645  Y 119488
X 284645  Y 111614
X 292519  Y 107677
X 280708  Y 103740
X 284645  Y 99803
X 292519  Y 95866
X 284645  Y 91929
X 292519  Y 87992
X 288582  Y 87992
X 280708  Y 84055
X 284645  Y 84055
X 292519  Y 84055
X 288582  Y 84055
X 284645  Y 76181
X 292519  Y 76181
X 288582  Y 76181
X 280708  Y 76181
X 288582  Y 68307
X 284645  Y 68307
X 292519  Y 68307
X 280708  Y 68307
X 293503  Y 23622
X 290354  Y 23622
X 350393  Y 69685
X 305511  Y 127362
X 305511  Y 138385
X 305511  Y 143897
X 307480  Y 149409
X 307480  Y 154921
X 307480  Y 160433
X 307480  Y 165944
X 311614  Y 274507
X 311909  Y 318110
X 483661  Y 306692
Drill: .01181  Tool: 2  Feed: 95  Speed: 300
X 23622  Y 4527
X 4527  Y 9645
X 4527  Y 29330
X 13976  Y 79133
X 4527  Y 88779
X 14370  Y 94881
X 23129  Y 138976
X 28444  Y 138976
X 4527  Y 146653
X 16732  Y 146653
X 23129  Y 159448
X 28543  Y 159448
X 22440  Y 195866
X 22440  Y 201574
X 4527  Y 206299
X 23425  Y 207480
X 19685  Y 212598
X 25688  Y 258366
X 25590  Y 263385
X 4527  Y 263976
X 14271  Y 272440
X 6102  Y 288385
X 27460  Y 295275
X 20078  Y 299901
X 6102  Y 308070
X 15748  Y 310039
X 23622  Y 310039
X 23622  Y 317913
X 15748  Y 317913
X 6102  Y 327755
X 25787  Y 327755
X 6102  Y 347440
X 6102  Y 367125
X 45472  Y 367125
X 45472  Y 347440
X 45472  Y 327755
X 43307  Y 314960
X 50196  Y 314960
X 43307  Y 310039
X 31102  Y 309842
X 51181  Y 309842
X 31102  Y 306299
X 43307  Y 305118
X 49606  Y 301181
X 43307  Y 300196
X 32480  Y 296456
X 53838  Y 288582
X 37007  Y 275984
X 35826  Y 250984
X 35826  Y 245374
X 53740  Y 235039
X 52066  Y 229625
X 53248  Y 223031
X 36614  Y 206594
X 50984  Y 197637
X 43700  Y 195866
X 52362  Y 189370
X 41141  Y 189370
X 46653  Y 189370
X 52755  Y 173031
X 32381  Y 163287
X 45275  Y 155905
X 39074  Y 147047
X 43011  Y 140944
X 42814  Y 137007
X 54035  Y 136023
X 42814  Y 133759
X 31496  Y 133759
X 54035  Y 132677
X 40748  Y 129921
X 45472  Y 129133
X 42519  Y 125590
X 36220  Y 121259
X 38582  Y 103149
X 51574  Y 101574
X 40059  Y 97834
X 34940  Y 97834
X 46062  Y 93897
X 46850  Y 78740
X 50590  Y 78740
X 41043  Y 78740
X 48228  Y 75000
X 47244  Y 62992
X 35433  Y 62992
X 47244  Y 47244
X 35433  Y 47244
X 54527  Y 4527
X 54527  Y 24212
X 69488  Y 37007
X 78543  Y 49606
X 72834  Y 69488
X 72834  Y 74606
X 74409  Y 82283
X 64566  Y 89665
X 57480  Y 90452
X 64566  Y 94192
X 64566  Y 99311
X 64566  Y 103838
X 64566  Y 108956
X 55905  Y 113090
X 62500  Y 113484
X 75196  Y 113779
X 61515  Y 125000
X 61515  Y 129330
X 60039  Y 133366
X 59448  Y 145866
X 67618  Y 148425
X 60433  Y 151181
X 55118  Y 156102
X 56299  Y 161909
X 63385  Y 169291
X 68208  Y 169881
X 72244  Y 169980
X 59153  Y 178937
X 78740  Y 179133
X 64763  Y 188779
X 68996  Y 192125
X 72244  Y 192125
X 56200  Y 193700
X 75000  Y 195669
X 78444  Y 195669
X 54724  Y 197637
X 78444  Y 207283
X 76771  Y 211023
X 57086  Y 212500
X 59055  Y 219685
X 62795  Y 219685
X 66338  Y 219783
X 71751  Y 221062
X 67519  Y 226082
X 75787  Y 228248
X 75787  Y 232972
X 67519  Y 235137
X 59055  Y 238976
X 66633  Y 239763
X 55118  Y 241141
X 63582  Y 255708
X 73031  Y 255708
X 63582  Y 265157
X 73031  Y 265157
X 63582  Y 274606
X 73031  Y 274606
X 77755  Y 287795
X 74606  Y 288976
X 63582  Y 288976
X 57086  Y 292125
X 74606  Y 294881
X 65748  Y 317716
X 74606  Y 317716
X 65157  Y 327755
X 84842  Y 327755
X 89763  Y 317716
X 81889  Y 317716
X 84055  Y 288976
X 97440  Y 275590
X 82480  Y 274606
X 97440  Y 272047
X 82480  Y 265157
X 98425  Y 263582
X 98425  Y 260039
X 82480  Y 255610
X 94685  Y 244291
X 94685  Y 236417
X 94685  Y 232775
X 94685  Y 228543
X 94685  Y 220669
X 79921  Y 220275
X 97440  Y 177165
X 93110  Y 174803
X 83070  Y 174409
X 79527  Y 171653
X 99606  Y 171259
X 95275  Y 171259
X 104330  Y 171259
X 84448  Y 168897
X 88976  Y 158070
X 93602  Y 158070
X 83759  Y 152362
X 104330  Y 151181
X 83267  Y 148425
X 80905  Y 144291
X 101968  Y 115748
X 89370  Y 113385
X 96751  Y 109547
X 85629  Y 104429
X 96751  Y 104429
X 85629  Y 99311
X 96751  Y 99311
X 85629  Y 94192
X 96751  Y 94192
X 96751  Y 89074
X 94094  Y 82381
X 86220  Y 82283
X 95669  Y 77165
X 84645  Y 77165
X 92913  Y 74606
X 90551  Y 64960
X 90551  Y 55118
X 101968  Y 49606
X 89173  Y 37007
X 128543  Y 37007
X 108858  Y 37007
X 107677  Y 69488
X 107677  Y 74606
X 105905  Y 82381
X 124901  Y 85039
X 118503  Y 89074
X 110334  Y 91633
X 116141  Y 91633
X 118503  Y 94192
X 107874  Y 94192
X 116141  Y 96751
X 118503  Y 99311
X 107874  Y 99311
X 116141  Y 101870
X 118503  Y 104429
X 107874  Y 104429
X 116141  Y 106988
X 107874  Y 109547
X 118503  Y 109547
X 109744  Y 115354
X 116535  Y 118602
X 124015  Y 122834
X 113779  Y 123326
X 126377  Y 129330
X 113779  Y 129625
X 113779  Y 133366
X 113779  Y 143405
X 109744  Y 151181
X 109744  Y 159448
X 109744  Y 171259
X 126574  Y 175590
X 110236  Y 183070
X 121948  Y 183464
X 125688  Y 185039
X 125688  Y 195669
X 128248  Y 204330
X 122342  Y 206102
X 128248  Y 210236
X 120964  Y 218996
X 120964  Y 230118
X 120964  Y 236417
X 123622  Y 244291
X 122047  Y 259842
X 114173  Y 262500
X 122047  Y 269291
X 122440  Y 283858
X 122047  Y 293307
X 124015  Y 305118
X 114173  Y 314960
X 124212  Y 327755
X 104527  Y 327755
X 143897  Y 327755
X 133858  Y 314960
X 153543  Y 314960
X 144389  Y 212204
X 139074  Y 212204
X 139074  Y 208267
X 144389  Y 206299
X 144389  Y 202362
X 139074  Y 202362
X 145275  Y 189173
X 142224  Y 186614
X 154133  Y 185826
X 150590  Y 185826
X 130511  Y 175590
X 145275  Y 174409
X 151574  Y 174409
X 143897  Y 161811
X 146456  Y 151673
X 151574  Y 151673
X 154133  Y 140354
X 149015  Y 140354
X 144389  Y 134547
X 144389  Y 129330
X 144389  Y 123917
X 139566  Y 122440
X 144389  Y 118602
X 131889  Y 118602
X 144389  Y 113287
X 144389  Y 107972
X 144389  Y 102755
X 144389  Y 97342
X 135531  Y 93503
X 139566  Y 93503
X 129724  Y 92913
X 150492  Y 90551
X 136122  Y 89074
X 136122  Y 83858
X 147244  Y 83858
X 130314  Y 78740
X 147244  Y 78641
X 136122  Y 78641
X 136122  Y 73425
X 147244  Y 68110
X 136122  Y 68110
X 136122  Y 62893
X 151574  Y 62007
X 136811  Y 55118
X 153051  Y 52559
X 149606  Y 36909
X 135826  Y 18700
X 149606  Y 4527
X 158267  Y 22244
